period, target, Mw5.88_R46.51_T0.2,sigma_Mw5.88_R46.51_T0.2,Mw6.44_R98.69_T1,sigma_Mw6.44_R98.69_T1,Mw6.88_R147.34_T5,sigma_Mw6.88_R147.34_T5
9.999999776482582092e-03,1.855448335409164429e-01,1.679966300725936890e-01,3.232345581054687500e-01,8.878945559263229370e-02,5.582831501960754395e-01,6.448110193014144897e-02,6.388941407203674316e-01
1.999999955296516418e-02,3.060781061649322510e-01,2.443350851535797119e-01,3.582449853420257568e-01,1.236907392740249634e-01,6.140390038490295410e-01,8.674795925617218018e-02,6.968908905982971191e-01
2.999999932944774628e-02,3.663885295391082764e-01,2.966692149639129639e-01,3.724957406520843506e-01,1.514779478311538696e-01,6.263573765754699707e-01,1.072572767734527588e-01,7.008616924285888672e-01
5.000000074505805969e-02,4.211224019527435303e-01,3.388486802577972412e-01,4.092800021171569824e-01,1.715435534715652466e-01,6.574141979217529297e-01,1.252987384796142578e-01,7.112297415733337402e-01
7.500000298023223877e-02,3.912774622440338135e-01,3.018248081207275391e-01,4.455905854701995850e-01,1.612542867660522461e-01,6.792855858802795410e-01,1.306743025779724121e-01,7.094783782958984375e-01
1.000000014901161194e-01,3.201603889465332031e-01,2.791143655776977539e-01,4.620312750339508057e-01,1.532766968011856079e-01,6.845750212669372559e-01,1.315915286540985107e-01,7.031379938125610352e-01
1.500000059604644775e-01,2.865011394023895264e-01,2.578026354312896729e-01,3.223166167736053467e-01,1.487549096345901489e-01,6.484720110893249512e-01,1.286889314651489258e-01,6.850840449333190918e-01
2.000000029802322388e-01,2.275472134351730347e-01,2.275472134351730347e-01,1.047712849810977787e-08,1.345879137516021729e-01,6.056863069534301758e-01,1.154085695743560791e-01,6.650133132934570312e-01
2.500000000000000000e-01,1.876446753740310669e-01,1.716973334550857544e-01,2.732657790184020996e-01,1.210558563470840454e-01,5.697264671325683594e-01,1.046001464128494263e-01,6.512632966041564941e-01
3.000000119209289551e-01,1.612624824047088623e-01,1.405527740716934204e-01,3.617714643478393555e-01,1.121050491929054260e-01,5.458863377571105957e-01,9.502769261598587036e-02,6.508723497390747070e-01
4.000000059604644775e-01,1.236622855067253113e-01,9.678746014833450317e-02,4.589073359966278076e-01,9.473755955696105957e-02,4.971154332160949707e-01,7.892426103353500366e-02,6.484295129776000977e-01
5.000000000000000000e-01,1.005147844552993774e-01,7.255321741104125977e-02,5.182873606681823730e-01,8.338993042707443237e-02,4.497407376766204834e-01,6.796163320541381836e-02,6.488422751426696777e-01
7.500000000000000000e-01,6.792084872722625732e-02,3.982748091220855713e-02,6.036487817764282227e-01,6.357546150684356689e-02,3.119205832481384277e-01,5.108493566513061523e-02,6.453508734703063965e-01
1.000000000000000000e+00,4.960753768682479858e-02,2.442377619445323944e-02,6.432007551193237305e-01,4.960753768682479858e-02,1.050905940047641707e-08,3.988575935363769531e-02,6.260926723480224609e-01
1.500000000000000000e+00,3.039507940411567688e-02,1.127497665584087372e-02,6.753969788551330566e-01,2.603431046009063721e-02,3.692082464694976807e-01,2.748409472405910492e-02,5.738674998283386230e-01
2.000000000000000000e+00,2.160458452999591827e-02,6.391093600541353226e-03,6.882141828536987305e-01,1.617493852972984314e-02,4.660292565822601318e-01,2.090172655880451202e-02,5.181323885917663574e-01
3.000000000000000000e+00,1.215168368071317673e-02,2.579271094873547554e-03,6.973336935043334961e-01,7.052348461002111435e-03,5.542145967483520508e-01,1.199640240520238876e-02,4.028368592262268066e-01
4.000000000000000000e+00,8.162256330251693726e-03,1.408802228979766369e-03,6.925356388092041016e-01,3.996182233095169067e-03,5.899864435195922852e-01,8.068846538662910461e-03,2.702181935310363770e-01
5.000000000000000000e+00,5.859633442014455795e-03,8.600728469900786877e-04,6.933332681655883789e-01,2.519130939617753029e-03,6.154273152351379395e-01,5.859633442014455795e-03,1.016522599428526519e-08
7.500000000000000000e+00,3.318798262625932693e-03,3.565852530300617218e-04,6.867213249206542969e-01,1.119217951782047749e-03,6.423580050468444824e-01,2.944168867543339729e-03,3.533127307891845703e-01
1.000000000000000000e+01,2.131496788933873177e-03,1.916220062412321568e-04,6.760537028312683105e-01,6.129025132395327091e-04,6.475352048873901367e-01,1.702365116216242313e-03,4.403889775276184082e-01
